date,Intelligence,isPartial
2020-04-05,89,False
2020-04-12,92,False
2020-04-19,92,False
2020-04-26,91,False
2020-05-03,100,False
2020-05-10,90,False
2020-05-17,88,False
2020-05-24,82,False
2020-05-31,84,False
2020-06-07,86,False
2020-06-14,92,False
2020-06-21,92,False
2020-06-28,85,False
2020-07-05,83,False
2020-07-12,86,False
2020-07-19,85,False
2020-07-26,82,False
2020-08-02,80,False
2020-08-09,77,False
2020-08-16,86,False
2020-08-23,85,False
2020-08-30,86,False
2020-09-06,93,False
2020-09-13,97,False
2020-09-20,91,False
2020-09-27,88,False
2020-10-04,91,False
2020-10-11,87,False
2020-10-18,88,False
2020-10-25,86,False
2020-11-01,77,False
2020-11-08,82,False
2020-11-15,81,False
2020-11-22,82,False
2020-11-29,88,False
2020-12-06,90,False
2020-12-13,87,False
2020-12-20,84,False
2020-12-27,79,False
2021-01-03,89,False
2021-01-10,82,False
2021-01-17,84,False
2021-01-24,86,False
2021-01-31,88,False
2021-02-07,84,False
2021-02-14,85,False
2021-02-21,84,False
2021-02-28,87,False
2021-03-07,82,False
2021-03-14,84,False
2021-03-21,77,False
2021-03-28,82,False
2021-04-04,83,False
