date,Overweight,isPartial
2020-04-05,78,False
2020-04-12,78,False
2020-04-19,82,False
2020-04-26,88,False
2020-05-03,85,False
2020-05-10,85,False
2020-05-17,84,False
2020-05-24,83,False
2020-05-31,74,False
2020-06-07,82,False
2020-06-14,79,False
2020-06-21,83,False
2020-06-28,80,False
2020-07-05,85,False
2020-07-12,82,False
2020-07-19,79,False
2020-07-26,79,False
2020-08-02,80,False
2020-08-09,75,False
2020-08-16,73,False
2020-08-23,77,False
2020-08-30,71,False
2020-09-06,74,False
2020-09-13,76,False
2020-09-20,73,False
2020-09-27,82,False
2020-10-04,88,False
2020-10-11,80,False
2020-10-18,80,False
2020-10-25,76,False
2020-11-01,61,False
2020-11-08,72,False
2020-11-15,82,False
2020-11-22,72,False
2020-11-29,80,False
2020-12-06,76,False
2020-12-13,78,False
2020-12-20,64,False
2020-12-27,82,False
2021-01-03,79,False
2021-01-10,84,False
2021-01-17,81,False
2021-01-24,84,False
2021-01-31,78,False
2021-02-07,77,False
2021-02-14,80,False
2021-02-21,89,False
2021-02-28,90,False
2021-03-07,100,False
2021-03-14,95,False
2021-03-21,92,False
2021-03-28,91,False
2021-04-04,93,False
