date,Schizophrenia,isPartial
2020-04-05,83,False
2020-04-12,84,False
2020-04-19,90,False
2020-04-26,94,False
2020-05-03,92,False
2020-05-10,89,False
2020-05-17,89,False
2020-05-24,69,False
2020-05-31,74,False
2020-06-07,73,False
2020-06-14,79,False
2020-06-21,79,False
2020-06-28,83,False
2020-07-05,71,False
2020-07-12,79,False
2020-07-19,80,False
2020-07-26,84,False
2020-08-02,74,False
2020-08-09,88,False
2020-08-16,83,False
2020-08-23,85,False
2020-08-30,83,False
2020-09-06,79,False
2020-09-13,90,False
2020-09-20,82,False
2020-09-27,88,False
2020-10-04,93,False
2020-10-11,89,False
2020-10-18,86,False
2020-10-25,95,False
2020-11-01,81,False
2020-11-08,89,False
2020-11-15,100,False
2020-11-22,77,False
2020-11-29,96,False
2020-12-06,90,False
2020-12-13,89,False
2020-12-20,64,False
2020-12-27,64,False
2021-01-03,64,False
2021-01-10,70,False
2021-01-17,71,False
2021-01-24,79,False
2021-01-31,99,False
2021-02-07,87,False
2021-02-14,82,False
2021-02-21,82,False
2021-02-28,96,False
2021-03-07,79,False
2021-03-14,80,False
2021-03-21,77,False
2021-03-28,84,False
2021-04-04,89,False
