date,Virus,isPartial
2020-04-05,100,False
2020-04-12,74,False
2020-04-19,64,False
2020-04-26,49,False
2020-05-03,42,False
2020-05-10,39,False
2020-05-17,34,False
2020-05-24,28,False
2020-05-31,26,False
2020-06-07,23,False
2020-06-14,23,False
2020-06-21,21,False
2020-06-28,24,False
2020-07-05,22,False
2020-07-12,19,False
2020-07-19,17,False
2020-07-26,17,False
2020-08-02,17,False
2020-08-09,15,False
2020-08-16,14,False
2020-08-23,14,False
2020-08-30,13,False
2020-09-06,14,False
2020-09-13,14,False
2020-09-20,13,False
2020-09-27,13,False
2020-10-04,14,False
2020-10-11,13,False
2020-10-18,13,False
2020-10-25,13,False
2020-11-01,11,False
2020-11-08,12,False
2020-11-15,13,False
2020-11-22,11,False
2020-11-29,11,False
2020-12-06,12,False
2020-12-13,11,False
2020-12-20,16,False
2020-12-27,12,False
2021-01-03,12,False
2021-01-10,12,False
2021-01-17,11,False
2021-01-24,12,False
2021-01-31,11,False
2021-02-07,10,False
2021-02-14,9,False
2021-02-21,10,False
2021-02-28,10,False
2021-03-07,9,False
2021-03-14,10,False
2021-03-21,10,False
2021-03-28,10,False
2021-04-04,10,False
