date,Anxiety,isPartial
2018-04-08,93,False
2018-04-15,87,False
2018-04-22,91,False
2018-04-29,87,False
2018-05-06,87,False
2018-05-13,84,False
2018-05-20,84,False
2018-05-27,83,False
2018-06-03,84,False
2018-06-10,84,False
2018-06-17,81,False
2018-06-24,88,False
2018-07-01,84,False
2018-07-08,92,False
2018-07-15,91,False
2018-07-22,88,False
2018-07-29,93,False
2018-08-05,91,False
2018-08-12,94,False
2018-08-19,93,False
2018-08-26,88,False
2018-09-02,85,False
2018-09-09,87,False
2018-09-16,93,False
2018-09-23,96,False
2018-09-30,91,False
2018-10-07,94,False
2018-10-14,88,False
2018-10-21,95,False
2018-10-28,93,False
2018-11-04,93,False
2018-11-11,91,False
2018-11-18,79,False
2018-11-25,100,False
2018-12-02,97,False
2018-12-09,87,False
2018-12-16,88,False
2018-12-23,76,False
2018-12-30,88,False
2019-01-06,95,False
2019-01-13,89,False
2019-01-20,93,False
2019-01-27,89,False
2019-02-03,93,False
2019-02-10,91,False
2019-02-17,97,False
2019-02-24,97,False
2019-03-03,96,False
2019-03-10,91,False
2019-03-17,92,False
2019-03-24,93,False
2019-03-31,94,False
